frame_name,gt_name,width,height,time_sec,gflops,e1,ns1,streak_area,percentage_streak_area,psnr_db,ssim
frame_000375.png,frame_000000.png,1280,720,1.633539,8.725018,0.756067,0.056013,0.284867,28.486654,16.580787,0.629296
frame_000376.png,frame_000000.png,1280,720,1.679470,8.725018,0.760575,0.062064,0.290292,29.029188,16.445033,0.615820
frame_000377.png,frame_000000.png,1280,720,1.662101,8.725018,0.760796,0.050744,0.292077,29.207682,17.153481,0.641325
frame_000378.png,frame_000000.png,1280,720,1.601455,8.725018,0.760723,0.050396,0.289170,28.916992,17.213914,0.644022
frame_000379.png,frame_000000.png,1280,720,1.588071,8.725018,0.757348,0.049991,0.282773,28.277344,17.338118,0.654145
frame_000380.png,frame_000000.png,1280,720,1.603155,8.725018,0.758679,0.046817,0.288887,28.888672,17.611889,0.650491
frame_000381.png,frame_000000.png,1280,720,1.672827,8.725018,0.756015,0.047888,0.281059,28.105903,17.554378,0.672186
frame_000382.png,frame_000000.png,1280,720,1.799434,8.725018,0.755423,0.050532,0.280005,28.000543,17.396573,0.668469
frame_000383.png,frame_000000.png,1280,720,1.842050,8.725018,0.750239,0.051178,0.265426,26.542643,17.352422,0.687623
frame_000384.png,frame_000000.png,1280,720,2.132949,8.725018,0.750845,0.057347,0.267642,26.764214,16.971160,0.683112
frame_000385.png,frame_000000.png,1280,720,1.747733,8.725018,0.752383,0.048571,0.270382,27.038194,17.514957,0.697804
frame_000386.png,frame_000000.png,1280,720,1.640496,8.725018,0.748732,0.046848,0.262042,26.204210,17.624760,0.700974
frame_000387.png,frame_000000.png,1280,720,1.575521,8.725018,0.744935,0.044383,0.275518,27.551758,18.009018,0.719159
frame_000388.png,frame_000000.png,1280,720,1.614509,8.725018,0.740365,0.043202,0.270832,27.083225,18.270701,0.726502
frame_000389.png,frame_000000.png,1280,720,1.526546,8.725018,0.728806,0.041647,0.250737,25.073676,18.495236,0.754810
frame_000390.png,frame_000000.png,1280,720,1.528722,8.725018,0.725274,0.043276,0.245116,24.511610,18.383859,0.755577
frame_000391.png,frame_000000.png,1280,720,1.676122,8.725018,0.728371,0.041077,0.244586,24.458550,18.670799,0.768424
frame_000392.png,frame_000000.png,1280,720,1.519025,8.725018,0.722695,0.040346,0.235562,23.556207,18.686550,0.778531
frame_000393.png,frame_000000.png,1280,720,1.474690,8.725018,0.719941,0.034919,0.227243,22.724284,19.346760,0.798742
frame_000394.png,frame_000000.png,1280,720,1.458525,8.725018,0.714037,0.032810,0.219742,21.974175,19.924115,0.806479
frame_000395.png,frame_000000.png,1280,720,1.429860,8.725018,0.711201,0.029056,0.215204,21.520399,20.588425,0.825558
frame_000396.png,frame_000000.png,1280,720,1.392511,8.725018,0.705260,0.028075,0.208402,20.840169,21.012286,0.840736
frame_000397.png,frame_000000.png,1280,720,1.395206,8.725018,0.692692,0.026465,0.185382,18.538194,21.553336,0.860148
frame_000398.png,frame_000000.png,1280,720,1.397912,8.725018,0.684625,0.028697,0.183063,18.306315,20.919849,0.861167
frame_000399.png,frame_000000.png,1280,720,1.420966,8.725018,0.689625,0.027968,0.181602,18.160156,21.160686,0.870801
frame_000400.png,frame_000000.png,1280,720,1.416227,8.725018,0.683969,0.023594,0.177730,17.773003,21.894233,0.877641
frame_000401.png,frame_000000.png,1280,720,1.411570,8.725018,0.685143,0.021523,0.178256,17.825629,22.458627,0.877492
frame_000402.png,frame_000000.png,1280,720,1.370268,8.725018,0.684034,0.017906,0.177577,17.757704,23.229990,0.884831
frame_000403.png,frame_000000.png,1280,720,1.338152,8.725018,0.684307,0.015785,0.175034,17.503364,23.645306,0.893091
frame_000404.png,frame_000000.png,1280,720,1.334335,8.725018,0.676590,0.016198,0.168308,16.830838,23.256954,0.895833
