frame_name,width,height,time_sec,gflops,e1,ns1,streak_area,percentage_streak_area
SIDEL_0064.jpg,1744,981,7.706141,16.246208,0.000000,0.160095,0.059087,5.908652
SIDEL_0065.jpg,1744,981,9.536765,16.246208,0.000000,0.160689,0.059507,5.950678
SIDEL_0066.jpg,1744,981,7.736235,16.246208,0.000000,0.160725,0.058643,5.864288
SIDEL_0067.jpg,1744,981,7.298422,16.246208,0.000000,0.160049,0.058968,5.896787
SIDEL_0068.jpg,1744,981,7.948555,16.246208,0.000000,0.160436,0.058898,5.889773
SIDEL_0069.jpg,1744,981,7.838055,16.246208,0.000000,0.160415,0.058572,5.857158
SIDEL_0070.jpg,1744,981,7.878037,16.246208,0.000000,0.160610,0.058501,5.850144
SIDEL_0071.jpg,1744,981,7.838596,16.246208,0.000000,0.160390,0.059334,5.933376
SIDEL_0072.jpg,1744,981,8.038066,16.246208,0.000000,0.161036,0.059867,5.986741
SIDEL_0073.jpg,1744,981,8.069647,16.246208,0.000000,0.160994,0.059097,5.909704
SIDEL_0074.jpg,1744,981,8.023993,16.246208,0.000000,0.160843,0.059369,5.936883
SIDEL_0075.jpg,1744,981,8.316324,16.246208,0.000000,0.161694,0.059652,5.965232
SIDEL_0076.jpg,1744,981,7.704496,16.246208,0.000000,0.160704,0.059640,5.964004
SIDEL_0077.jpg,1744,981,8.978751,16.246208,0.000000,0.160949,0.059305,5.930512
SIDEL_0078.jpg,1744,981,8.011433,16.246208,0.000000,0.161273,0.059296,5.929577
SIDEL_0079.jpg,1744,981,8.229824,16.246208,0.000000,0.161323,0.058974,5.897371
SIDEL_0080.jpg,1744,981,9.249114,16.246208,0.000000,0.161059,0.058853,5.885272
SIDEL_0081.jpg,1744,981,8.164739,16.246208,0.000000,0.161055,0.059151,5.915140
SIDEL_0082.jpg,1744,981,8.596100,16.246208,0.000000,0.160649,0.058952,5.895209
SIDEL_0083.jpg,1744,981,8.628686,16.246208,0.000000,0.161003,0.059638,5.963829
SIDEL_0084.jpg,1744,981,9.040821,16.246208,0.000000,0.160594,0.060544,6.054426
SIDEL_0085.jpg,1744,981,8.866827,16.246208,0.000000,0.160157,0.059874,5.987384
SIDEL_0086.jpg,1744,981,9.380415,16.246208,0.000000,0.161085,0.059834,5.983351
SIDEL_0087.jpg,1744,981,8.953620,16.246208,0.000000,0.160978,0.059103,5.910347
SIDEL_0088.jpg,1744,981,9.079707,16.246208,0.000000,0.160680,0.058992,5.899183
SIDEL_0089.jpg,1744,981,8.452343,16.246208,0.000000,0.159919,0.059127,5.912744
SIDEL_0090.jpg,1744,981,9.218514,16.246208,0.000000,0.160517,0.058995,5.899534
SIDEL_0091.jpg,1744,981,8.480884,16.246208,0.000000,0.160647,0.059541,5.954126
SIDEL_0092.jpg,1744,981,8.120115,16.246208,0.000000,0.161155,0.059750,5.974993
SIDEL_0093.jpg,1744,981,8.885082,16.246208,0.000000,0.159912,0.059427,5.942670
SIDEL_0094.jpg,1744,981,8.162996,16.246208,0.000000,0.160332,0.059458,5.945826
SIDEL_0095.jpg,1744,981,8.379750,16.246208,0.000000,0.160291,0.059138,5.913796
SIDEL_0096.jpg,1744,981,8.592324,16.246208,0.000000,0.160300,0.059638,5.963829
SIDEL_0097.jpg,1744,981,9.585198,16.246208,0.000000,0.159729,0.060073,6.007316
SIDEL_0098.jpg,1744,981,8.831103,16.246208,0.000000,0.160790,0.059159,5.915900
SIDEL_0099.jpg,1744,981,8.291046,16.246208,0.000000,0.160562,0.059534,5.953366
SIDEL_0100.jpg,1744,981,8.607582,16.246208,0.000000,0.156443,0.058482,5.848215
